gene_A	gene_B	type_A	type_B
SLC10A4	CHRNA4	L	R
SLC10A4	CHRNB2	L	R
SLC10A4	CHRNA3	L	R
SLC10A4	CHRNB4	L	R
SLC10A4	CHRNA7	L	R
SLC10A4	CHRM2	L	R
SLC10A4	CHRM4	L	R
SLC10A4	CHRM5	L	R
SLC10A4	CHRM1	L	R
SLC10A4	CHRM3	L	R
SLC5A7	CHRNA1	L	R
SLC5A7	CHRNB1	L	R
SLC5A7	CHRND	L	R
SLC5A7	CHRNG	L	R
SLC5A7	CHRNE	L	R
SLC5A7	CHRNA4	L	R
SLC5A7	CHRNB2	L	R
SLC5A7	CHRNA3	L	R
SLC5A7	CHRNB4	L	R
SLC5A7	CHRNA7	L	R
SLC5A7	CHRM2	L	R
SLC5A7	CHRM4	L	R
SLC5A7	CHRM5	L	R
SLC5A7	CHRM1	L	R
SLC5A7	CHRM3	L	R
IL12A	IL12RB1	L	R
IL12A	IL12RB2	L	R
IL12B	IL12RB1	L	R
IL12B	IL12RB2	L	R
EBI3	IL12RB2	L	R
EBI3	IL6ST	L	R
IL12A	IL6ST	L	R
IL12A	IL27RA	L	R
IL27	IL12RB2	L	R
IL27	IL27RA	L	R
IL12B	IL23R	L	R
IL23A	IL12RB1	L	R
IL23A	IL23R	L	R
GAD2	GABRA1	L	R
GAD2	GABRB2	L	R
GAD2	GABRD	L	R
SLC6A1	GABRA1	L	R
SLC6A1	GABRB2	L	R
SLC6A1	GABRD	L	R
GAD2	GABRA4	L	R
GAD2	GABRB3	L	R
SLC6A1	GABRA4	L	R
SLC6A1	GABRB3	L	R
GAD2	GABRA6	L	R
SLC6A1	GABRA6	L	R
GAD2	GABRG2	L	R
SLC6A1	GABRG2	L	R
GAD2	GABRA5	L	R
SLC6A1	GABRA5	L	R
GAD2	GABRA3	L	R
SLC6A1	GABRA3	L	R
GAD2	GABRA2	L	R
SLC6A1	GABRA2	L	R
GAD2	GABRE	L	R
SLC6A1	GABRE	L	R
GAD2	GABRQ	L	R
SLC6A1	GABRQ	L	R
GAD2	GABBR2	L	R
SLC6A1	GABBR2	L	R
GAD2	GABBR1	L	R
SLC6A1	GABBR1	L	R
GAD1	GABRA1	L	R
GAD1	GABRB2	L	R
GAD1	GABRD	L	R
GAD1	GABRA4	L	R
GAD1	GABRB3	L	R
GAD1	GABRA6	L	R
GAD1	GABRG2	L	R
GAD1	GABRA5	L	R
GAD1	GABRA3	L	R
GAD1	GABRA2	L	R
GAD1	GABRE	L	R
GAD1	GABRQ	L	R
GAD1	GABBR2	L	R
GAD1	GABBR1	L	R
SRD5A2	AR	L	R
SLC6A6	GABRA1	L	R
SLC6A6	GABRB2	L	R
SLC6A6	GABRD	L	R
SLC6A6	GABRA4	L	R
SLC6A6	GABRB3	L	R
SLC6A6	GABRA6	L	R
SLC6A6	GABRG2	L	R
SLC6A6	GABRA5	L	R
SLC6A6	GABRA3	L	R
SLC6A6	GABRA2	L	R
SLC6A6	GABRE	L	R
SLC6A6	GABRQ	L	R
SLC6A6	GABBR2	L	R
SLC6A6	GABBR1	L	R
TPH2	HTR3A	L	R
TPH2	HTR3B	L	R
TPH2	HTR3C	L	R
TPH2	HTR3D	L	R
TPH2	HTR3E	L	R
TPH2	HTR1A	L	R
TPH2	HTR1D	L	R
TPH2	HTR1B	L	R
TPH2	HTR2A	L	R
TPH2	HTR2C	L	R
TPH2	HTR1E	L	R
TPH2	HTR1F	L	R
TPH2	HTR7	L	R
TPH2	HTR2B	L	R
TPH2	HTR5A	L	R
TPH2	HTR6	L	R
TPH2	HTR4	L	R
SHMT1	GLRA1	L	R
SHMT1	GLRB	L	R
SLC6A9	GLRA1	L	R
SLC6A9	GLRB	L	R
